股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
301217,铜冠铜箔,25,2026-07-30,2026-09-02,False,False,True
301227,森鹰窗业,250,2025-08-27,2026-09-07,True,True,False
301231,荣信文化,120,2026-03-17,2026-09-07,True,False,False
301251,威尔高,250,2025-08-27,2026-09-07,True,True,False
301270,汉仪股份,25,2026-07-30,2026-09-02,False,False,True
301282,金禄电子,120,2026-03-13,2026-09-03,False,False,True
301292,海科新源,25,2026-07-30,2026-09-02,False,False,True
301357,北方长龙,25,2026-07-30,2026-09-02,False,False,True
301366,一博科技,25,2026-07-30,2026-09-02,False,False,True
301382,蜂助手,25,2026-07-30,2026-09-02,False,False,True
301399,英特科技,25,2026-07-30,2026-09-02,False,False,True
301419,阿莱德,25,2026-07-30,2026-09-02,False,False,True
301449,天溯计量,120,2026-03-13,2026-09-03,False,False,True
301489,思泉新材,25,2026-07-31,2026-09-03,False,False,True
301529,福赛科技,120,2026-03-17,2026-09-07,True,False,False
301550,斯菱智驱,120,2026-03-17,2026-09-07,True,False,False
301591,肯特股份,25,2026-07-30,2026-09-02,False,False,True
301626,苏州天脉,25,2026-07-30,2026-09-02,False,False,True
301630,同宇新材,120,2026-03-17,2026-09-07,True,False,False
301668,昊创瑞通,25,2026-07-30,2026-09-02,False,False,True
600095,湘财股份,120,2026-03-17,2026-09-07,True,False,False
600103,青山纸业,120,2026-03-17,2026-09-07,True,False,False
600105,永鼎股份,25,2026-07-30,2026-09-02,False,False,True
600108,亚盛集团,26,2026-08-03,2026-09-07,True,False,False
600110,诺德股份,120,2026-03-17,2026-09-07,True,False,False
600121,郑州煤电,25,2026-07-30,2026-09-02,False,False,True
600127,金健米业,25,2026-07-31,2026-09-03,False,False,True
600162,香江控股,25,2026-07-30,2026-09-02,False,False,True
600165,宁科生物,120,2026-03-16,2026-09-07,True,False,False
600172,黄河旋风,120,2026-03-17,2026-09-07,True,False,False
600183,生益科技,120,2026-03-17,2026-09-07,True,False,False
600186,莲花控股,250,2025-08-25,2026-09-03,False,True,True
600198,大唐电信,120,2026-03-13,2026-09-03,False,False,True
600206,有研新材,25,2026-07-30,2026-09-02,False,False,True
600227,赤天化,25,2026-07-30,2026-09-02,False,False,True
600228,返利科技,25,2026-07-30,2026-09-02,False,False,True
600272,开开实业,25,2026-07-30,2026-09-02,False,False,True
600288,大恒科技,25,2026-07-30,2026-09-02,False,False,True
600313,农发种业,120,2026-03-17,2026-09-07,True,False,False
600326,西藏天路,120,2026-03-13,2026-09-03,False,False,True
600330,天通股份,120,2026-03-17,2026-09-07,True,False,False
600353,旭光电子,120,2026-03-17,2026-09-07,True,False,False
600354,敦煌种业,120,2026-03-17,2026-09-07,True,False,False
600362,江西铜业,26,2026-08-03,2026-09-07,True,False,False
600367,红星发展,120,2026-03-17,2026-09-07,True,False,False
600368,五洲交通,250,2025-08-22,2026-09-02,False,True,True
600371,万向德农,25,2026-07-31,2026-09-03,False,False,True
600378,昊华科技,120,2026-03-17,2026-09-07,True,False,False
600379,宝光股份,120,2026-03-17,2026-09-07,True,False,False
600397,江钨装备,120,2026-03-13,2026-09-03,False,False,True
600403,大有能源,120,2026-03-17,2026-09-07,True,False,False
600409,三友化工,120,2026-03-17,2026-09-07,True,False,False
600460,士兰微,25,2026-07-30,2026-09-02,False,False,True
600468,百利电气,25,2026-07-30,2026-09-02,False,False,True
600475,华光环能,25,2026-07-30,2026-09-02,False,False,True
600479,千金药业,25,2026-07-30,2026-09-02,False,False,True
600487,亨通光电,120,2026-03-17,2026-09-07,True,False,False
600500,中化国际,120,2026-03-17,2026-09-07,True,False,False
600508,上海能源,25,2026-07-30,2026-09-02,False,False,True
600513,联环药业,25,2026-07-30,2026-09-02,False,False,True
600521,华海药业,25,2026-07-30,2026-09-02,False,False,True
600536,中国软件,120,2026-03-17,2026-09-07,True,False,False
600540,新赛股份,25,2026-07-31,2026-09-03,False,False,True
600547,山东黄金,250,2025-08-22,2026-09-02,False,True,True
600551,时代出版,25,2026-07-30,2026-09-02,False,False,True
600578,京能电力,25,2026-07-30,2026-09-02,False,False,True
600584,长电科技,25,2026-07-30,2026-09-02,False,False,True
600588,用友网络,25,2026-07-30,2026-09-02,False,False,True
600601,方正科技,25,2026-08-04,2026-09-07,True,False,False
600604,市北高新,120,2026-03-17,2026-09-07,True,False,False
600610,中毅达,120,2026-03-17,2026-09-07,True,False,False
600613,神奇制药,26,2026-08-03,2026-09-07,True,False,False
600617,国新能源,250,2025-08-22,2026-09-02,False,True,True
600629,华建集团,25,2026-07-30,2026-09-02,False,False,True
