股票代码,股票名称,首次进入日期,最近提交日期,提交次数,当前状态,淘汰日期,淘汰原因
300598,诚迈科技,2026-09-02,2026-09-02,1,一级活跃,,
300605,恒锋信息,2026-09-02,2026-09-02,1,活跃,,
300613,富瀚微,2026-09-02,2026-09-02,1,活跃,,
300620,光库科技,2026-09-02,2026-09-02,1,活跃,,
300642,透景生命,2026-09-03,2026-09-03,1,活跃,,
300672,国科微,2026-09-02,2026-09-02,1,活跃,,
300679,电连技术,2026-09-02,2026-09-02,1,活跃,,
300686,智动力,2026-09-02,2026-09-02,1,一级活跃,,
300688,创业黑马,2026-09-02,2026-09-02,1,活跃,,
300711,广哈通信,2026-09-02,2026-09-02,1,一级活跃,,
300765,新诺威,2026-09-02,2026-09-02,1,一级活跃,,
300789,唐源电气,2026-09-02,2026-09-02,1,活跃,,
300798,锦鸡股份,2026-09-02,2026-09-02,1,活跃,,
300802,矩子科技,2026-09-02,2026-09-02,1,活跃,,
300805,电声股份,2026-09-02,2026-09-02,1,一级活跃,,
300830,金现代,2026-09-03,2026-09-03,1,活跃,,
300839,博汇股份,2026-09-02,2026-09-02,1,活跃,,
300841,康华生物,2026-09-02,2026-09-02,1,活跃,,
300846,首都在线,2026-09-02,2026-09-02,1,活跃,,
300864,南大环境,2026-09-02,2026-09-02,1,活跃,,
300894,火星人,2026-09-02,2026-09-02,1,活跃,,
300897,山科智能,2026-09-02,2026-09-02,1,一级活跃,,
300903,科翔股份,2026-09-02,2026-09-02,1,活跃,,
300911,亿田智能,2026-09-02,2026-09-03,2,活跃,,
300929,华骐环保,2026-09-02,2026-09-02,1,一级活跃,,
300970,华绿生物,2026-09-02,2026-09-02,1,活跃,,
300981,中红医疗,2026-09-02,2026-09-02,1,一级活跃,,
300985,致远新能,2026-09-02,2026-09-02,1,活跃,,
300990,同飞股份,2026-09-02,2026-09-02,1,活跃,,
301018,申菱环境,2026-09-02,2026-09-02,1,活跃,,
301026,浩通科技,2026-09-02,2026-09-02,1,活跃,,
301045,天禄科技,2026-09-02,2026-09-02,1,活跃,,
301060,兰卫医学,2026-09-02,2026-09-02,1,活跃,,
301085,亚康股份,2026-09-02,2026-09-02,1,活跃,,
301106,骏成科技,2026-09-02,2026-09-02,1,活跃,,
301123,奕东电子,2026-09-02,2026-09-02,1,一级活跃,,
301127,武汉天源,2026-09-02,2026-09-02,1,活跃,,
301129,瑞纳智能,2026-09-02,2026-09-02,1,一级活跃,,
301151,冠龙节能,2026-09-02,2026-09-02,1,活跃,,
301152,天力锂能,2026-09-02,2026-09-02,1,活跃,,
301158,德石股份,2026-09-02,2026-09-02,1,活跃,,
301165,锐捷网络,2026-09-02,2026-09-02,1,活跃,,
301171,易点天下,2026-09-02,2026-09-02,1,活跃,,
301177,迪阿股份,2026-09-02,2026-09-02,1,一级活跃,,
301182,凯旺科技,2026-09-02,2026-09-02,1,活跃,,
301183,东田微,2026-09-02,2026-09-02,1,一级活跃,,
301190,善水科技,2026-09-02,2026-09-02,1,一级活跃,,
301205,联特科技,2026-09-02,2026-09-02,1,活跃,,
301211,亨迪药业,2026-09-02,2026-09-02,1,活跃,,
301217,铜冠铜箔,2026-09-02,2026-09-02,1,活跃,,
301227,森鹰窗业,2026-09-02,2026-09-02,1,活跃,,
301231,荣信文化,2026-09-02,2026-09-02,1,活跃,,
301251,威尔高,2026-09-02,2026-09-02,1,活跃,,
301270,汉仪股份,2026-09-02,2026-09-02,1,活跃,,
301282,金禄电子,2026-09-02,2026-09-02,1,一级活跃,,
301292,海科新源,2026-09-02,2026-09-02,1,活跃,,
301357,北方长龙,2026-09-02,2026-09-02,1,活跃,,
301366,一博科技,2026-09-02,2026-09-02,1,活跃,,
301382,蜂助手,2026-09-02,2026-09-02,1,活跃,,
301399,英特科技,2026-09-02,2026-09-02,1,活跃,,
301419,阿莱德,2026-09-02,2026-09-02,1,活跃,,
301449,天溯计量,2026-09-02,2026-09-02,1,一级活跃,,
301489,思泉新材,2026-09-03,2026-09-03,1,活跃,,
301529,福赛科技,2026-09-02,2026-09-02,1,活跃,,
301550,斯菱智驱,2026-09-02,2026-09-02,1,一级活跃,,
301591,肯特股份,2026-09-02,2026-09-02,1,活跃,,
301626,苏州天脉,2026-09-02,2026-09-02,1,活跃,,
301630,同宇新材,2026-09-02,2026-09-02,1,活跃,,
301668,昊创瑞通,2026-09-02,2026-09-02,1,活跃,,
600095,湘财股份,2026-09-02,2026-09-02,1,活跃,,
600103,青山纸业,2026-09-02,2026-09-02,1,活跃,,
600105,永鼎股份,2026-09-02,2026-09-02,1,活跃,,
600110,诺德股份,2026-09-02,2026-09-02,1,一级活跃,,
600121,郑州煤电,2026-09-02,2026-09-03,2,活跃,,
600127,金健米业,2026-09-03,2026-09-03,1,活跃,,
600162,香江控股,2026-09-02,2026-09-03,2,活跃,,
600165,宁科生物,2026-09-02,2026-09-02,1,一级活跃,,
600172,黄河旋风,2026-09-02,2026-09-03,2,一级活跃,,
600183,生益科技,2026-09-02,2026-09-02,1,活跃,,
600186,莲花控股,2026-09-02,2026-09-03,2,进入30-40只研究池,,
600198,大唐电信,2026-09-02,2026-09-02,1,一级活跃,,
600206,有研新材,2026-09-02,2026-09-02,1,活跃,,
600227,赤天化,2026-09-02,2026-09-02,1,活跃,,
600228,返利科技,2026-09-02,2026-09-02,1,活跃,,
600272,开开实业,2026-09-02,2026-09-02,1,活跃,,
600288,大恒科技,2026-09-02,2026-09-02,1,活跃,,
600313,农发种业,2026-09-02,2026-09-02,1,一级活跃,,
600326,西藏天路,2026-09-02,2026-09-02,1,一级活跃,,
600330,天通股份,2026-09-02,2026-09-02,1,一级活跃,,
600353,旭光电子,2026-09-02,2026-09-02,1,活跃,,
600354,敦煌种业,2026-09-02,2026-09-02,1,活跃,,
600367,红星发展,2026-09-02,2026-09-02,1,一级活跃,,
600368,五洲交通,2026-09-02,2026-09-02,1,一级活跃,,
600371,万向德农,2026-09-03,2026-09-03,1,活跃,,
600378,昊华科技,2026-09-02,2026-09-02,1,活跃,,
600379,宝光股份,2026-09-02,2026-09-02,1,一级活跃,,
600397,江钨装备,2026-09-02,2026-09-02,1,一级活跃,,
600403,大有能源,2026-09-02,2026-09-02,1,活跃,,
600409,三友化工,2026-09-02,2026-09-02,1,一级活跃,,
600460,士兰微,2026-09-02,2026-09-02,1,活跃,,
600468,百利电气,2026-09-02,2026-09-02,1,活跃,,
600475,华光环能,2026-09-02,2026-09-02,1,活跃,,
600479,千金药业,2026-09-02,2026-09-03,2,活跃,,
600487,亨通光电,2026-09-02,2026-09-02,1,一级活跃,,
600500,中化国际,2026-09-02,2026-09-02,1,一级活跃,,
600508,上海能源,2026-09-02,2026-09-02,1,活跃,,
600513,联环药业,2026-09-02,2026-09-02,1,活跃,,
600521,华海药业,2026-09-02,2026-09-02,1,活跃,,
600536,中国软件,2026-09-02,2026-09-02,1,一级活跃,,
600540,新赛股份,2026-09-03,2026-09-03,1,活跃,,
600547,山东黄金,2026-09-02,2026-09-02,1,进入30-40只研究池,,
600551,时代出版,2026-09-02,2026-09-02,1,活跃,,
600578,京能电力,2026-09-02,2026-09-02,1,活跃,,
600584,长电科技,2026-09-02,2026-09-02,1,活跃,,
600588,用友网络,2026-09-02,2026-09-02,1,活跃,,
600604,市北高新,2026-09-02,2026-09-02,1,一级活跃,,
600610,中毅达,2026-09-02,2026-09-02,1,活跃,,
600617,国新能源,2026-09-02,2026-09-02,1,一级活跃,,
600629,华建集团,2026-09-02,2026-09-02,1,活跃,,
600641,万业企业,2026-09-02,2026-09-02,1,活跃,,
600654,中安科,2026-09-02,2026-09-02,1,活跃,,
600657,信达地产,2026-09-03,2026-09-03,1,活跃,,
600663,陆家嘴,2026-09-02,2026-09-02,1,活跃,,
600664,哈药股份,2026-09-02,2026-09-03,2,一级活跃,,
600666,奥瑞德,2026-09-02,2026-09-02,1,活跃,,
600683,京投发展,2026-09-02,2026-09-02,1,活跃,,
600691,潞化科技,2026-09-02,2026-09-02,1,活跃,,
600693,东百集团,2026-09-02,2026-09-03,2,活跃,,
600698,湖南天雁,2026-09-02,2026-09-02,1,进入30-40只研究池,,
600712,南宁百货,2026-09-02,2026-09-02,1,一级活跃,,
600714,金瑞矿业,2026-09-02,2026-09-03,2,活跃,,
600721,百花医药,2026-09-02,2026-09-02,1,活跃,,
600722,金牛化工,2026-09-02,2026-09-03,2,活跃,,
600737,中粮糖业,2026-09-02,2026-09-02,1,一级活跃,,
600746,江苏索普,2026-09-02,2026-09-02,1,一级活跃,,
600756,浪潮软件,2026-09-02,2026-09-02,1,活跃,,
600785,新华百货,2026-09-02,2026-09-03,2,活跃,,
600801,华新水泥,2026-09-02,2026-09-02,1,进入30-40只研究池,,
600815,厦工股份,2026-09-02,2026-09-02,1,活跃,,
600828,茂业商业,2026-09-02,2026-09-03,2,活跃,,
600829,人民同泰,2026-09-02,2026-09-02,1,活跃,,
600830,香溢融通,2026-09-02,2026-09-03,2,活跃,,
600833,第一医药,2026-09-02,2026-09-02,1,活跃,,
600844,金煤科技,2026-09-02,2026-09-02,1,活跃,,
600857,宁波中百,2026-09-02,2026-09-02,1,一级活跃,,
600869,远东股份,2026-09-03,2026-09-03,1,活跃,,
600881,亚泰集团,2026-09-02,2026-09-02,1,活跃,,
600892,大晟文化,2026-09-02,2026-09-03,2,活跃,,
600962,国投中鲁,2026-09-02,2026-09-02,1,活跃,,
600967,内蒙一机,2026-09-02,2026-09-02,1,活跃,,
